Name,Points 2021
Alfa Romeo Racing,13
AlphaTauri,142
Alpine,155
Aston Martin,77
Ferrari,323.5
Haas F1 Team,0
McLaren,275
Mercedes,613.5
Red Bull Racing,585.5
Williams,23
